,1
0,110.01052566037501
1,110.12004361700001
2,110.175001964875
3,110.119989535
4,110.063105891625
5,110.017044734
6,110.008522375875
7,110.04254970087499
8,110.01937759875
9,109.90128978562501
10,109.99270935962501
11,109.94830571350002
12,109.834807752
13,109.84620138087499
14,109.7711960165
15,109.8526948585
16,109.792740057
17,109.90953802725
18,109.96596600625
19,110.03655063862502
20,110.00953837687499
21,109.97230828275002
22,110.01746267074999
23,110.11252826275
24,109.925474822375
25,109.99582188312499
26,109.89922187175
27,109.918277366875
28,110.118970691125
29,110.030738195375
30,109.95960272712499
31,109.984358425875
32,109.94648641799999
33,109.966465589375
34,109.95698507462501
35,109.88446815475
36,109.977636193625
37,110.02574902262499
38,110.1080523965
39,110.0772561495
40,109.937826802875
41,110.032918233375
42,109.938919346
43,109.94954344025
44,109.94399162025
45,109.96296221575001
46,109.94795771375
47,109.75668281362499
48,109.837241019375
49,109.8877210775
50,109.9830546215
51,109.98766856387502
52,109.91425597224999
53,109.943250724125
54,109.97557223787499
55,109.971157468125
56,109.90469497475
57,109.92272082212499
58,109.83352938312498
59,109.86282462687501
60,109.89079007025
61,109.887089445625
62,109.79101553125
63,109.77695851162498
64,109.89874163875
65,109.865661628
66,109.89744772975001
67,109.87480805887499
68,109.80280616187501
69,109.765631756
70,109.73337307525
71,109.619203042375
72,109.54453946574999
73,109.54280092375001
74,109.40949078275
75,109.478956241625
76,109.65581778625001
77,109.60070803800001
78,109.57678465075
79,109.46869479825
80,109.556595414
81,109.456244296375
82,109.56995321675
83,109.50481844462502
84,109.576903033125
85,109.49646286975002
86,109.37815844699999
87,109.3972192765
88,109.3922563945
89,109.382847130625
90,109.25361200012499
91,109.37822653775001
92,109.383963362625
93,109.355767430125
94,109.39142593137501
95,109.44315857637498
96,109.52131870737499
97,109.57446208550002
98,109.658101962375
99,0.0
