,0,1
0,651.764953,116.4101673
1,651.774903,116.461369
2,651.784854,116.4656304
3,651.794804,116.5200463
4,651.804755,116.5535536
5,651.814706,116.5389345
6,651.824656,116.5908612
7,651.8346122,116.5939785
8,651.8445622,116.5382245
9,651.8545132,116.5709489
10,651.8644642,116.4765662
11,651.8744142,116.3750849
12,651.8843652,116.4998157
13,651.8943152,116.5857209
14,651.9042662,116.6348084
15,651.9142172,116.6694146
16,651.9241672,116.6218587
17,651.9341182,116.6005865
18,651.9440682,116.5510416
19,651.9540192,116.4981682
20,651.9639702,116.5362654
21,651.9739202,116.5502368
22,651.9838712,116.5508085
23,651.9938212,116.4617633
24,652.0037722,116.4878107
25,652.0137232,116.417776
26,652.0236732,116.3913386
27,652.0336242,116.4084047
28,652.0435752,116.4092024
29,652.0535252,116.5193113
30,652.0634762,116.5458579
31,652.0734262,116.5314052
32,652.0833772,116.4955906
33,652.0933282,116.5692724
34,652.1032782,116.4798752
35,652.1132292,116.4141332
36,652.1231792,116.4141332
37,652.1331302,116.4442982
38,652.1430812,116.4408057
39,652.1530312,116.5071751
40,652.1629822,116.4956729
41,652.1729322,116.4392888
42,652.1828832,116.4118189
43,652.1928342,116.4896463
44,652.2027842,116.4711315
45,652.2127352,116.4603266
46,652.2226852,116.4807045
47,652.2326362,116.558664
48,652.2425872,116.6587283
49,652.2525372,116.6996896
50,652.2624882,116.6124181
51,652.2724382,116.5153499
52,652.2823892,116.5070562
53,652.2923402,116.5319544
54,652.3022902,116.5736035
55,652.3122412,116.6774276
56,652.3221912,116.5874769
57,652.3321422,116.5526468
58,652.3420932,116.6057211
59,652.3520432,116.6940448
60,652.3619942,116.7352377
61,652.3719442,116.7717729
62,652.3818952,116.7203176
63,652.3918462,116.7349029
64,652.4017962,116.6843466
65,652.4117472,116.7144172
66,652.4216982,116.6707253
67,652.4316482,116.5220797
68,652.4415992,116.5432386
69,652.4515492,116.6234559
70,652.4615002,116.6038028
71,652.4714512,116.6600625
72,652.4814012,116.7104444
73,652.4913522,116.7370102
74,652.5013022,116.7550066
75,652.5112532,116.7029609
76,652.5212042,116.7041059
77,652.5311542,116.6741369
78,652.5411052,116.6772247
79,652.5510552,116.661132
80,652.5610062,116.6357981
81,652.5709572,116.6107792
82,652.5809072,116.7162776
83,652.5908582,116.741438
84,652.6008082,116.7222997
85,652.6107592,116.7247847
86,652.6207102,116.7672696
87,652.6306602,116.7427455
88,652.6406112,116.7316538
89,652.6505612,116.7599957
90,652.6605122,116.7900543
91,652.6704632,116.828061
92,652.6804132,116.7697759
93,652.6903642,116.7620557
94,652.7003142,116.7585394
95,652.7102652,116.7402694
96,652.7202162,116.7552609
97,652.7301662,116.7634756
98,652.7401172,116.7482693
99,652.7500672,116.7808067
100,652.7600182,116.7191537
101,652.7699692,116.6928976
102,652.7799192,116.7279875
103,652.7898702,116.6852196
104,652.7998202,116.6852196
105,652.8097712,116.6737761
106,652.8197222,116.6086144
107,652.8296671,116.5897808
108,652.8396181,116.537928
109,652.8495681,116.5442881
110,652.8595191,116.5952945
111,652.8694701,116.6344252
112,652.8794201,116.6991498
113,652.8893711,116.597591
114,652.8993211,116.6691698
115,652.9092721,116.6989557
116,652.9192231,116.6385426
117,652.9291731,116.5617445
118,652.9391241,116.4791497
119,652.9490751,116.4461351
120,652.9590251,116.4454575
121,652.9689761,116.5817233
122,652.9789261,116.6134715
123,652.9888771,116.5585289
124,652.9988281,116.5685879
125,653.0087781,116.5940796
126,653.0187291,116.6153219
127,653.0286791,116.595082
128,653.0386301,116.5673187
129,653.0485811,116.5407732
130,653.0585311,116.5941782
131,653.0684821,116.5502987
132,653.0784321,116.5524081
133,653.0883831,116.472369
134,653.0983341,116.4402927
135,653.1082841,116.5049882
136,653.1182351,116.5267332
137,653.1281851,116.5942096
138,653.1381361,116.6153324
139,653.1480871,116.573474
140,653.1580371,116.5609252
141,653.1679881,116.3776483
142,653.1779381,116.3438201
143,653.1878891,116.3926735
144,653.1978401,116.4290553
145,653.2077901,116.4821446
146,653.2177411,116.4651227
147,653.2276911,116.4654989
148,653.2376421,116.4663232
149,653.2475931,116.4172373
150,653.2575431,116.3646373
151,653.2674941,116.477111
152,653.2774441,116.4856376
153,653.2873951,116.4210397
154,653.2973461,116.3229309
155,653.3072961,116.2318202
156,653.3172471,116.3439447
157,653.3271971,116.4287417
158,653.3371481,116.5194064
159,653.3470991,116.4797562
160,653.3570491,116.5046321
161,653.3670001,116.5826883
162,653.3769501,116.5572602
163,653.3869011,116.5386113
164,653.3968521,116.5514021
165,653.4068021,116.5611353
166,653.4167531,116.6202188
167,653.4267041,116.6857456
168,653.4366541,116.7131714
169,653.4466051,116.6040532
170,653.4565551,116.5218746
171,653.4665061,116.561091
172,653.4764571,116.5971116
173,653.4864071,116.5971116
174,653.4963581,116.5785875
175,653.5063081,116.6248323
176,653.5162591,116.6678627
177,653.5262101,116.7514036
178,653.5361601,116.6744954
179,653.5461111,116.7613116
180,653.5560611,116.7130174
181,653.5660121,116.666751
182,653.5759631,116.6461902
183,653.5859131,116.6581856
184,653.5958641,116.5708889
185,653.6058141,116.6132646
186,653.6157651,116.5611453
187,653.6257161,116.5340625
188,653.6356661,116.5170596
189,653.6456171,116.5508424
190,653.6555671,116.6131467
191,653.6655181,116.6475612
192,653.6754691,116.6290193
193,653.6854191,116.556144
194,653.6953701,116.5449499
195,653.7053201,116.6250776
196,653.7152711,116.5634159
197,653.7252221,116.6278929
198,653.7351721,116.6405089
199,653.7451231,116.6424771
200,653.7550731,116.658322
201,653.7650241,116.5809629
202,653.7749751,116.6413159
203,653.7849251,116.5980558
204,653.7948761,116.5588073
