,1
0,96.3085141374
1,96.38339216982499
2,96.372108082675
3,96.3775087970625
4,96.45673444623749
5,96.4475429514375
6,96.40564680309998
7,96.46363658062499
8,96.406251671575
9,96.51035294945001
10,96.35771369524998
11,96.39263195252501
12,96.41286111543752
13,96.45938157013751
14,96.41013111426251
15,96.3986700302375
16,96.47586337371249
17,96.53266565955
18,96.510621679475
19,96.50479361789999
20,96.49024488895
21,96.531972146525
22,96.5091288389875
23,96.44760849893751
24,96.52427126686248
25,96.48984445273749
26,96.49621352934999
27,96.4639883828625
28,96.43822378976249
29,96.455284082575
30,96.5251295534375
31,96.5176588028
32,96.62661341887502
33,96.7127124362375
34,96.6323372347875
35,96.6012030157875
36,96.7685603690125
37,96.72097855411249
38,96.5909486846125
39,96.5267959440875
40,96.6197729184625
41,96.51335489255
42,96.5236220924
43,96.62248856892501
44,96.5893753825375
45,96.632590719325
46,96.50904061681248
47,96.5134165664875
48,96.698156347275
49,96.48508447787499
50,96.58456521865
51,96.52501258087501
52,96.47115907035
53,96.4899386741125
54,96.498235904125
55,96.51661141786252
56,96.55852381608749
57,96.56859302038748
58,96.548872169925
59,96.538098150775
60,96.52373653369999
61,96.33921261817501
62,96.40263882020001
63,96.42976256413749
64,96.39533087925
65,96.5789328126375
66,96.4290612572
67,96.34156787789999
68,96.3018002734125
69,96.30688832864999
70,96.2205483388625
71,96.20245454104999
72,96.14045941066252
73,96.29551015037501
74,96.125820389325
75,96.1617587196625
76,96.16882543784999
77,96.0576672496875
78,96.08397931520001
79,96.06185666016249
80,96.085081694475
81,96.1407332777125
82,96.0751149223125
83,96.20103082222501
84,96.10202971442499
85,95.94960407619999
86,96.00982725025
87,96.05601550706251
88,96.14494521575001
89,96.0986109115
90,96.043871749725
91,96.15825967405
92,96.1599119614125
93,96.187826965175
94,96.19166202762499
95,96.11759739198752
96,96.09725926905001
97,96.1940528495375
98,96.23769422060002
99,96.21978608906251
