,1
0,116.531062036375
1,116.49834429775001
2,116.70236430637499
3,116.6918016025
4,116.642076590625
5,116.668139318125
6,116.6428613835
7,116.65170765925
8,116.561915013
9,116.41654164699999
10,116.57550486562499
11,116.58985749312498
12,116.61231602975
13,116.42662365387501
14,116.53051441775
15,116.49504632387499
16,116.50190981837498
17,116.51139509312499
18,116.572896229875
19,116.65701585762501
20,116.68212782137499
21,116.598828793
22,116.56897672312499
23,116.50744348399999
24,116.6093304025
25,116.54626284599999
26,116.597726912375
27,116.48929603
28,116.47550422262499
29,116.56622513425
30,116.46391775262498
31,116.4123320515
32,116.54563643525
33,116.451686776625
34,116.36456583175
35,116.53490096175001
36,116.520915146375
37,116.57585252125
38,116.62340781750001
39,116.65719232075
40,116.39807969937502
41,116.47623191574999
42,116.495315108
43,116.482427180625
44,116.459270766375
45,116.569075070125
46,116.536701431625
47,116.45116957850001
48,116.530314782875
49,116.64983969274999
50,116.52695417675001
51,116.60172671725
52,116.68719201387499
53,116.675204099625
54,116.5064956645
55,116.46687782125
56,116.57246984174999
57,116.42952935775
58,116.36412178375002
59,116.40646817525001
60,116.2772350045
61,116.24505789462499
62,116.3408030955
63,116.36096159262499
64,116.3595952155
65,116.353836220375
66,116.40185938124999
67,116.473134205875
68,116.43887848525
69,116.40286981324999
70,116.403357781125
71,116.34803809
72,116.27082673675001
73,116.225666284625
74,116.2784835915
75,116.03255420274999
76,116.09637695974999
77,116.260053412375
78,116.237207011125
79,116.172828504
80,116.113597761375
81,116.217940722375
82,116.1113558645
83,116.06734757587499
84,116.265758488875
85,116.18903103550001
86,116.18215332299998
87,116.119288903125
88,116.141196718375
89,116.15814562575001
90,116.01951742462501
91,116.012306292375
92,115.92979293312501
93,116.03871490962501
94,115.965155880125
95,115.861635955125
96,115.97786774837499
97,116.20109088275
98,116.10526345787501
99,116.28899712225001
