,1,2
0,627.5260515,-0.7047691345
1,627.5360025,-0.7415380478
2,627.5459535,-0.7848482132
3,627.5559045,-0.7216472626
4,627.5658565,-0.666425705
5,627.5758075,-0.6334066391
6,627.5857585,-0.6345214844
7,627.5957095,-0.633354187
8,627.6056605,-0.6815652847
9,627.6156115,-0.7566347122
10,627.6255625,-0.8086853027
11,627.6355145,-0.8517608643
12,627.6454655,-0.8673934937
13,627.6554165,-0.8581104279
14,627.6653675,-0.8484706879
15,627.6753185,-0.8566102982
16,627.6852695,-0.8439941406
17,627.6952205,-0.7842845917
18,627.7051725,-0.7516918182
19,627.7151235,-0.7250261307
20,627.7250745,-0.7426967621
21,627.7350255,-0.8940219879
22,627.7449765,-0.9287834167
23,627.7549275,-0.9248027802
24,627.7648785,-0.9176225662
25,627.7748295,-0.9195518494
26,627.7847815,-0.8199138641
27,627.7947325,-0.7228069305
28,627.8046835,-0.6939687729
29,627.8146345,-0.664103508
30,627.8245855,-0.6696853638
31,627.8345365,-0.656876564
32,627.8444885,-0.6529903412
33,627.8544395,-0.6733560562
34,627.8643905,-0.6992702484
35,627.8743415,-0.7422428131
36,627.8842925,-0.7355890274
37,627.8942435,-0.7390003204
38,627.9041945,-0.7459640503
39,627.9141455,-0.8848323822
40,627.9240975,-0.8559999466
41,627.9340485,-0.6979389191
42,627.9439995,-0.6774492264
43,627.9539505,-0.7341117859
44,627.9639015,-0.7602806091
45,627.9738525,-0.7711782455
46,627.9838035,-0.7863197327
47,627.9937555,-0.741900444
48,628.0037065,-0.7746248245
49,628.0136575,-0.7580680847
50,628.0236085,-0.7433786392
51,628.0335595,-0.7433786392
52,628.0435105,-0.7375164032
53,628.0534615,-0.7774057388
54,628.0634135,-0.752658844
55,628.0733645,-0.8007202148
56,628.0833155,-0.8548202515
57,628.0932665,-0.9252891541
58,628.1032175,-0.8875341415
59,628.1131685,-0.8794088364
60,628.1231195,-0.8745412827
61,628.1330715,-0.8274288177
62,628.1430225,-0.8528051376
63,628.1529735,-0.8330211639
64,628.1629245,-0.9012260437
65,628.1728755,-0.8429708481
66,628.1828265,-0.878361702
67,628.1927775,-0.9262695312
68,628.2027295,-0.8998641968
69,628.2126805,-0.8921527863
70,628.2226315,-0.900393486
71,628.2325825,-0.8897380829
72,628.2425335,-0.8041801453
73,628.2524845,-0.7428684235
74,628.2624355,-0.7085313797
75,628.2723875,-0.7058324814
76,628.2823385,-0.770658493
77,628.2922895,-0.7582378387
78,628.3022405,-0.7512645721
79,628.3121919,-0.7588310242
80,628.3221429,-0.7698373795
81,628.3320939,-0.8369493484
82,628.3420459,-0.8757200241
83,628.3519969,-0.8981294632
84,628.3619479,-0.8706893921
85,628.3718989,-0.8237352371
86,628.3818499,-0.8979063034
87,628.3918009,-0.9257736206
88,628.4017519,-0.9449481964
89,628.4117039,-0.9127998352
90,628.4216549,-0.9439849854
91,628.4316059,-0.8923311234
92,628.4415569,-0.8103437424
93,628.4515079,-0.7821741104
94,628.4614589,-0.7838716507
95,628.4714099,-0.877664566
96,628.4813619,-0.8466682434
97,628.4913129,-0.7866277695
98,628.5012639,-0.8472185135
99,628.5112149,-0.8871469498
100,628.5211659,-0.8931503296
101,628.5311169,-0.9094429016
102,628.5410679,-0.9191560745
103,628.5510189,-0.9451274872
104,628.5609709,-0.9517011642
105,628.5709219,-0.9461603165
106,628.5808729,-0.7987127304
107,628.5908239,-0.766866684
108,628.6007749,-0.7871665955
109,628.6107259,-0.7505578995
110,628.6206779,-0.7869462967
111,628.6306289,-0.7587585449
112,628.6405799,-0.7834510803
113,628.6505309,-0.7842569351
114,628.6604819,-0.8558006287
115,628.6704329,-0.7787046432
116,628.6803839,-0.7636833191
117,628.6903349,-0.7562637329
118,628.7002869,-0.781671524
119,628.7102379,-0.7523450851
120,628.7201889,-0.7803707123
121,628.7301399,-0.7803707123
122,628.7400909,-0.7039556503
123,628.7500419,-0.6671533585
124,628.7599929,-0.7407979965
125,628.7699449,-0.7147102356
126,628.7798959,-0.6903982162
127,628.7898469,-0.6724863052
128,628.7997979,-0.6655874252
129,628.8097489,-0.7016553879
130,628.8196999,-0.7633895874
131,628.8296509,-0.7478513718
132,628.8396029,-0.7965021133
133,628.8495539,-0.7666521072
134,628.8595049,-0.6901063919
135,628.8694559,-0.6246242523
136,628.8794069,-0.6675424576
137,628.8893579,-0.6967315674
138,628.8993089,-0.7458648682
139,628.9092609,-0.707036972
140,628.9192119,-0.6688604355
141,628.9291629,-0.6853399277
142,628.9391139,-0.7453079224
143,628.9490649,-0.803071022
144,628.9590159,-0.8930511475
145,628.9689669,-0.9761228561
146,628.9789189,-0.9523687363
147,628.9888699,-0.8478326797
148,628.9988209,-0.7978868484
149,629.0087719,-0.7704629898
150,629.0187229,-0.7188081741
151,629.0286739,-0.7024478912
152,629.0386249,-0.7562685013
153,629.0485769,-0.8748846054
154,629.0585279,-0.9147348404
155,629.0684789,-0.9512710571
156,629.0784299,-0.912569046
157,629.0883809,-0.914806366
158,629.0983319,-0.8151903152
159,629.1082829,-0.7794923782
